date,nav
2024-04-23,3.4973
2024-04-24,3.5126
2024-04-25,3.5212
2024-04-26,3.5752
2024-04-29,3.6147
2024-04-30,3.5978
2024-05-06,3.6506
2024-05-07,3.6517
2024-05-08,3.6229
2024-05-09,3.6571
2024-05-10,3.6592
2024-05-13,3.6575
2024-05-14,3.6503
2024-05-15,3.6224
2024-05-16,3.6365
2024-05-17,3.6742
2024-05-20,3.6871
2024-05-21,3.6732
2024-05-22,3.6819
2024-05-23,3.6393
2024-05-24,3.5997
2024-05-27,3.6336
2024-05-28,3.6074
2024-05-29,3.6123
2024-05-30,3.5938
2024-05-31,3.5794
2024-06-03,3.5882
2024-06-04,3.6155
2024-06-05,3.5963
2024-06-06,3.5949
2024-06-07,3.5789
2024-06-11,3.5485
2024-06-12,3.5504
2024-06-13,3.5345
2024-06-14,3.553
2024-06-17,3.5474
2024-06-18,3.5569
2024-06-19,3.5456
2024-06-20,3.5208
2024-06-21,3.5138
2024-06-24,3.4956
2024-06-25,3.4765
2024-06-26,3.5011
2024-06-27,3.4772
2024-06-28,3.4874
2024-06-30,3.4873
2024-07-01,3.5039
2024-07-02,3.4975
2024-07-03,3.4897
2024-07-04,3.4724
2024-07-05,3.4582
2024-07-08,3.4308
2024-07-09,3.4723
2024-07-10,3.4652
2024-07-11,3.5114
2024-07-12,3.5207
2024-07-15,3.525
2024-07-16,3.5508
2024-07-17,3.5553
2024-07-18,3.5756
2024-07-19,3.5963
2024-07-22,3.572
2024-07-23,3.4972
2024-07-24,3.4761
2024-07-25,3.4569
2024-07-26,3.4713
2024-07-29,3.4531
2024-07-30,3.4321
2024-07-31,3.5054
2024-08-01,3.4826
2024-08-02,3.4471
2024-08-05,3.4052
2024-08-06,3.4045
2024-08-07,3.4029
2024-08-08,3.4048
2024-08-09,3.3944
2024-08-12,3.3884
2024-08-13,3.397
2024-08-14,3.3722
2024-08-15,3.406
2024-08-16,3.4111
2024-08-19,3.4226
2024-08-20,3.3982
2024-08-21,3.3871
2024-08-22,3.3786
2024-08-23,3.3937
2024-08-26,3.3916
2024-08-27,3.3724
2024-08-28,3.3555
2024-08-29,3.3463
2024-08-30,3.3908
2024-09-02,3.3337
2024-09-03,3.3422
2024-09-04,3.3206
2024-09-05,3.3264
2024-09-06,3.2995
2024-09-09,3.2607
2024-09-10,3.2635
2024-09-11,3.2543
2024-09-12,3.2405
2024-09-13,3.2274
2024-09-18,3.2391
2024-09-19,3.265
2024-09-20,3.2702
2024-09-23,3.2821
2024-09-24,3.4238
2024-09-25,3.4747
2024-09-26,3.6212
2024-09-27,3.7824
2024-09-30,4.1017
2024-10-08,4.342
2024-10-09,4.0374
2024-10-10,4.081
2024-10-11,3.9679
2024-10-14,4.0426
2024-10-15,3.936
2024-10-16,3.9108
2024-10-17,3.8665
2024-10-18,4.0086
2024-10-21,4.0186
2024-10-22,4.0417
2024-10-23,4.0576
2024-10-24,4.0125
2024-10-25,4.0407
2024-10-28,4.0483
2024-10-29,4.0081
2024-10-30,3.9724
2024-10-31,3.9742
2024-11-01,3.9737
2024-11-04,4.0289
2024-11-05,4.1304
2024-11-06,4.1098
2024-11-07,4.2338
2024-11-08,4.1916
2024-11-11,4.2187
2024-11-12,4.1723
2024-11-13,4.1986
2024-11-14,4.126
2024-11-15,4.0543
2024-11-18,4.0354
2024-11-19,4.0621
2024-11-20,4.0711
2024-11-21,4.0747
2024-11-22,3.9491
2024-11-25,3.9309
2024-11-26,3.923
2024-11-27,3.9911
2024-11-28,3.9567
2024-11-29,4.0018
2024-12-02,4.0333
2024-12-03,4.0377
2024-12-04,4.0159
2024-12-05,4.0067
2024-12-06,4.0592
2024-12-09,4.0525
2024-12-10,4.0821
2024-12-11,4.075
2024-12-12,4.1155
2024-12-13,4.0182
2024-12-16,3.9957
2024-12-17,4.0062
2024-12-18,4.0265
2024-12-19,4.0302
2024-12-20,4.0155
2024-12-23,4.0214
2024-12-24,4.0725
2024-12-25,4.0745
2024-12-26,4.0762
2024-12-27,4.0699
